Airline,Aircraft,Day,Time,Price ( AUD )
Jetstar,JQ502,1 Oct 2024,7:25 AM,84
Jetstar,JQ504,1 Oct 2024,8:15 AM,99
Jetstar,JQ508,1 Oct 2024,9:25 AM,90
Jetstar,JQ512,1 Oct 2024,12:25 PM,113
Jetstar,JQ518,1 Oct 2024,2:25 PM,99
Jetstar,JQ520,1 Oct 2024,3:25 PM,79
Jetstar,JQ522,1 Oct 2024,4:15 PM,84
Jetstar,JQ524,1 Oct 2024,5:40 PM,79
Jetstar,JQ528,1 Oct 2024,7:15 PM,84
Jetstar,JQ530,1 Oct 2024,8:15 PM,84
Jetstar,JQ532,1 Oct 2024,8:50 PM,84
Jetstar,JQ500,2 Oct 2024,6:00 AM,84
Jetstar,JQ502,2 Oct 2024,7:30 AM,90
Jetstar,JQ504,2 Oct 2024,8:15 AM,90
Jetstar,JQ508,2 Oct 2024,9:25 AM,113
Jetstar,JQ512,2 Oct 2024,12:25 PM,99
Jetstar,JQ518,2 Oct 2024,2:25 PM,99
Jetstar,JQ520,2 Oct 2024,3:25 PM,90
Jetstar,JQ522,2 Oct 2024,4:15 PM,84
Jetstar,JQ524,2 Oct 2024,5:40 PM,84
Jetstar,JQ528,2 Oct 2024,7:15 PM,90
Jetstar,JQ530,2 Oct 2024,8:15 PM,90
Jetstar,JQ532,2 Oct 2024,8:50 PM,99
Jetstar,JQ500,3 Oct 2024,6:00 AM,141
Jetstar,JQ502,3 Oct 2024,7:30 AM,127
Jetstar,JQ504,3 Oct 2024,8:15 AM,127
Jetstar,JQ508,3 Oct 2024,9:25 AM,141
Jetstar,JQ512,3 Oct 2024,12:25 PM,158
Jetstar,JQ518,3 Oct 2024,2:25 PM,141
Jetstar,JQ520,3 Oct 2024,3:25 PM,141
Jetstar,JQ522,3 Oct 2024,3:55 PM,158
Jetstar,JQ524,3 Oct 2024,5:40 PM,158
Jetstar,JQ528,3 Oct 2024,7:15 PM,158
Jetstar,JQ530,3 Oct 2024,8:15 PM,141
Jetstar,JQ532,3 Oct 2024,8:50 PM,141
Jetstar,JQ500,4 Oct 2024,6:00 AM,176
Jetstar,JQ502,4 Oct 2024,7:30 AM,198
Jetstar,JQ504,4 Oct 2024,8:15 AM,230
Jetstar,JQ508,4 Oct 2024,9:25 AM,198
Jetstar,JQ512,4 Oct 2024,12:25 PM,198
Jetstar,JQ518,4 Oct 2024,2:25 PM,230
Jetstar,JQ520,4 Oct 2024,3:25 PM,198
Jetstar,JQ522,4 Oct 2024,3:40 PM,198
Jetstar,JQ524,4 Oct 2024,5:40 PM,
Jetstar,JQ528,4 Oct 2024,7:15 PM,198
Jetstar,JQ530,4 Oct 2024,8:15 PM,198
Jetstar,JQ532,4 Oct 2024,8:50 PM,176
