Airline,Aircraft,Day,Scheduled Time,Actual Time
Jetstar,JQ504,21 Aug 2024,8:15 AM,8:22 AM
Jetstar,JQ504,22 Aug 2024,8:15 AM,8:29 AM
Jetstar,JQ504,23 Aug 2024,8:15 AM,9:07 AM
Jetstar,JQ504,24 Aug 2024,8:15 AM,8:21 AM
Jetstar,JQ504,25 Aug 2024,8:15 AM,8:26 AM
Jetstar,JQ504,26 Aug 2024,8:15 AM,8:30 AM
Jetstar,JQ504,27 Aug 2024,8:15 AM,8:27 AM
Jetstar,JQ504,28 Aug 2024,8:15 AM,9:19 AM
Jetstar,JQ504,29 Aug 2024,8:15 AM,8:29 AM
Jetstar,JQ504,30 Aug 2024,8:15 AM,8:34 AM
Jetstar,JQ504,31 Aug 2024,8:15 AM,8:31 AM
Jetstar,JQ508,1 Aug 2024,9:25 AM,9:52 AM
Jetstar,JQ508,02 Aug 2024,9:25 AM,
Jetstar,JQ508,03 Aug 2024,9:25 AM,9:48 AM
Jetstar,JQ508,04 Aug 2024,9:25 AM,9:30 AM
Jetstar,JQ508,05 Aug 2024,9:25 AM,9:35 AM
Jetstar,JQ508,06 Aug 2024,9:25 AM,9:31 AM
Jetstar,JQ508,07 Aug 2024,9:25 AM,9:38 AM
Jetstar,JQ508,08 Aug 2024,9:25 AM,9:38 AM
Jetstar,JQ508,09 Aug 2024,9:25 AM,9:51 AM
Jetstar,JQ508,10 Aug 2024,9:25 AM,9:39 AM
Jetstar,JQ508,11 Aug 2024,9:25 AM,9:37 AM
Jetstar,JQ508,12 Aug 2024,9:25 AM,9:44 AM
Jetstar,JQ508,13 Aug 2024,9:25 AM,9:42 AM
Jetstar,JQ508,14 Aug 2024,9:25 AM,9:45 AM
Jetstar,JQ508,15 Aug 2024,9:25 AM,10:11 AM
Jetstar,JQ508,16 Aug 2024,9:25 AM,9:54 AM
Jetstar,JQ508,17 Aug 2024,9:25 AM,9:56 AM
Jetstar,JQ508,18 Aug 2024,9:25 AM,9:38 AM
Jetstar,JQ508,19 Aug 2024,9:25 AM,9:43 AM
Jetstar,JQ508,20 Aug 2024,9:25 AM,9:47 AM
Jetstar,JQ508,21 Aug 2024,9:25 AM,9:36 AM
Jetstar,JQ508,22 Aug 2024,9:25 AM,10:13 AM
Jetstar,JQ508,23 Aug 2024,9:25 AM,9:48 AM
Jetstar,JQ508,24 Aug 2024,9:25 AM,9:42 AM
Jetstar,JQ508,25 Aug 2024,9:25 AM,10:37 AM
Jetstar,JQ508,26 Aug 2024,9:25 AM,9:41 AM
Jetstar,JQ508,27 Aug 2024,9:25 AM,9:37 AM
Jetstar,JQ508,28 Aug 2024,9:25 AM,
